word,base
ładunki,ładunek
wybuchowe,wybuchowy
zostały,zostać
umieszczone,umieścić
pociągu,pociąg
był,być
Mówiono,mówić
różnych,różny
środkach,środek
wybuchowych,wybuchowy
dynamicie,dynamit
używanej,używać
używanym,używać
Wszyscy,wszystek
oskarżeni,oskarżyć
ujęci,ująć
wyniku,wynik
śledztwa,śledztwo
zostali,zostać
zwolnieni,zwolnić
braku,brak
dowodów,dowód
zostali,zostać
zwolnieni,zwolnić
marca,marzec
zostali,zostać
zwolnieni,zwolnić
czerwca,czerwiec
istnieją,istnieć
żadne,żaden
dowody,dowód
oparte,oprzeć
badaniach,badanie
które,który
łączyły,łączyć
jednego,jeden
głównych,główny
podejrzanych,podejrzany
zamachami,zamach
maja,maj
zmarł,zemrzeć
Sandomierzu,Sandomierz
najciekawszych,ciekawy
tłumaczy,tłumaczyć
anglistów,anglista
średniego,średni
pokolenia,pokolenie
Urodzony,urodzić
Dzierzkowicach,Dzierzkowice
Ziemi,Ziemia
Lubelskiej,lubelski
związał,związać
studiach,studia
Nauczycielskim,nauczycielski
Języków,język
Obcych,obcy
Sandomierzu,Sandomierz
żoną,żona
tłumaczką,tłumaczka
zamieszkał,zamieszkać
Współpracował,współpracować
sur,sura
in,inaczej
Płonąc,płonąć
wodzie,woda
tonąc,tonąć
ogniu,ogień
Bukowskiego,Bukowski
Ulicą,ulica
Wszystkich,wszystek
Świętych,święty
cukrze,cukier
arbuza,arbuz
Odczytywanie,odczytywać
głębi,głąb
krakowską,krakowski
Miniaturą,miniatura
Te,ten
poezji,poezja
japońskiej,japoński
własne,własny
wiersze,wiersz
latach,rok
tych,ten
sandomierskiej,sandomierski
sceny,scena
którą,który
zrealizował,zrealizować
przedstawień,przedstawienie
Mistrzostwa,mistrzostwo
Województwa,województwo
Łódzkiego,łódzki
Juniorów,junior
Młodszych,młody
Młodzików,młodzik
Brydżu,brydż
Sportowym,sportowy
Brydża,brydż
Sportowego,sportowy
Łodzi,Łódź
zaprasza,zapraszać
udziału,udział
Mistrzostwach,mistrzostwa
Województwa,województwo
Łódzkiego,łódzki
Juniorów,junior
Młodszych,młody
Młodzików,młodzik
Brydżu,brydż
Sportowym,sportowy
rozegrane,rozegrać
zostaną,zostać
dniach,dzień
Ośrodku,ośrodek
Sokolnikach,Sokolniki
Lesie,las
ul,ulica
Sokolnickiego,sokolnicki
MISTRZOSTW,mistrzostwa
WOJEWÓDZTWA,województwo
ŁÓDZKIEGO,łódzki
JUNIORÓW,junior
MŁODSZYCH,młody
MŁODZIKÓW,młodzik
BRYDŻU,brydż
SPORTOWYM,sportowy
Brydża,brydż
Sportowego,sportowy
Łodzi,Łódź
rozgrywek,rozgrywka
rozgrywek,rozgrywka
Sokolnikach,Sokolniki
Lesie,las
ul,ulica
Sokolnickiego,sokolnicki
rozgrywek,rozgrywka
brydża,brydż
sportowego,sportowy
młodzieży,młodzież
szkolnej,szkolny
doskonalenie,doskonalić
poziomu,poziom
gry,gra
Wyłonienie,wyłonić
Mistrzów,mistrz
Wicemistrzów,wicemistrz
Wicemistrzów,wicemistrz
Województwa,województwo
kategorii,kategoria
juniorów,junior
młodszych,młody
młodzików,młodzik
Sokolnikach,Sokolniki
Lesie,las
ul,ulica
Sokolnickiego,sokolnicki
rozgrywek,rozgrywka
Będą,być
rozgrywane,rozgrywać
odrębne,odrębny
turnieje,turniej
juniorów,junior
młodzików,młodzik
godz,godzina
godz,godzina
godz,godzina
teamów,team
godz,godzina
zależności,zależność
liczby,liczba
zawodników,zawodnik
przyczyn,przyczyna
technicznych,techniczny
może,móc
formę,forma
rozgrywek,rozgrywka
Zawodnicy,zawodnik
zawodach,zawody
mają,maić
juniorzy,junior
młodsi,młody
młodzicy,młodzik
terenu,teren
województwa,województwo
łódzkiego,łódzki
może,móc
udziału,udział
zawodach,zawody
osoby,osoba
spełniające,spełniać
wymagań,wymaganie
wiekowych,wiekowy
długofalowa,długofalowy
turnieju,turniej
teamów,team
ostatnie,ostatni
otrzymuje,otrzymywać
każde,każdy
wyższe,wysoki
turnieju,turniej
ostatnie,ostatni
każde,każdy
wyższe,wysoki
turnieju,turniej
indywidualnym,indywidualny
ostatnie,ostatni
każde,każdy
wyższe,wysoki
Przepisy,przepis
rozgrywkach,rozgrywka
stosowane,stosować
będą,być
przepisy,przepis
międzynarodowego,międzynarodowy
prawa,prawo
brydżowego,brydżowy
rejonie,rejon
rozgrywek,rozgrywka
zakwaterowania,zakwaterowanie
obowiązuje,obowiązywać
uczestników,uczestnik
kulturalne,kulturalny
Osoby,osoba
zachowujące,zachowywać
mogą,móc
wykluczone,wykluczyć
zawodów,zawód
usunięte,usunąć
terenu,teren
rozgrywek,rozgrywka
Nagrody,nagroda
zajęcie,zająć
pierwszych,pierwszy
trzech,trzy
miejsc,miejsce
punktacji,punktacja
długofalowej,długofalowy
każdej,każdy
kategorii,kategoria
wiekowej,wiekowy
zawodnicy,zawodnik
otrzymają,otrzymać
medale,medal
dyplomy,dyplom
zajęcie,zająć
miejsc,miejsce
dyplomy,dyplom
młodzieży,młodzież
wyjeżdżającej,wyjeżdżać
Łodzi,Łódź
dn,dnia
godz,godzina
ul,ulica
Bazarowej,bazarowy
zostanie,zostać
podstawiony,podstawić
wynajęty,wynająć
Pozostałe,pozostały
osoby,osoba
dojeżdżają,dojeżdżać
we,w
własnym,własny
zakresie,zakres
poniedziałkowym,poniedziałkowy
programie,program
książkach,książka
telewizji,telewizja
publicznej,publiczny
poinformowano,poinformować
in,inaczej
uroczystości,uroczystość
wręczenia,wręczyć
nagrody,nagroda
uzasadniali,uzasadniać
członkowie,członek
jury,Jura
drugiej,drugi
strony,strona
autorzy,autor
programu,program
zaproszeni,zaproszony
krytycy,krytyk
Rzeczpospolitej,Rzeczpospolita
wyjaśnili,wyjaśnić
pierwsze,pierwszy
Doroty,Dorota
Masłowskiej,Masłowska
jest,być
warte,wart
nagród,nagroda
literackich,literacki
drugie,drugi
ma,mieć
literaturę,literatura
polską,polski
Później,późno
Salmanem,Salman
Rushdiem,Rushdie
nagrana,nagrać
Łazienkach,łazienka
Królewskich,królewski
mieszkający,mieszkać
stałe,stały
Nowym,nowy
Jorku,Jork
znalazł,znaleźć
Warszawie,Warszawa
było,być
przyjechał,przyjechać
jest,być
ją,on
przyznaje,przyznawać
najciekawsze,ciekawy
rzeczy,rzecz
działy,dziać
finale,finał
dyskusji,dyskusja
tomie,Tom
Czesława,Czesław
Miłosza,Miłosz
Wiersze,wiersz
ostatnie,ostatni
prowadząca,prowadzić
audycję,audycja
stwierdziła,stwierdzić
był,być
zachwycony,zachwycić
sobą,siebie
zdziwił,zdziwić
dzieł,dzieło
poety,poeta
potwierdzenie,potwierdzić
tej,ten
przyznajmy,przyznać
śmiałej,śmiały
tezy,teza
zacytowała,zacytować
jednego,jeden
wierszy,wiersza
Miłosza,Miłosz
cytowała,cytować
paru,parę
strofach,strofa
zawyrokowała,zawyrokować
prostu,prosty
mniej,mało
więcej,dużo
dalej,daleko
są,być
dłużyzny,dłużyzna
westchnął,westchnąć
wzniósł,wznieść
oczy,oko
niebu,niebo
Mylił,mylić
sądził,sądzić
atrakcji,atrakcja
chwili,chwila
programu,program
przypomniał,przypomnieć
ostatnich,ostatni
latach,rok
życia,życie
był,być
zaangażowany,zaangażować
Zaskoczony,zaskoczyć
poprosił,poprosić
szczegóły,szczegół
je,on
dostał,dostać
wyjaśniał,wyjaśniać
mu,on
był,być
kieszonkowym,kieszonkowy
wieszczem,wieszcz
Gazety,gazeta
Wyborczej,wyborczy
podskoczył,podskoczyć
em,być
zaciekawienia,zaciekawienie
to,ten
miało,mieć
zdaniem,zdanie
Brauna,Braun
był,być
takim,taki
sobie,siebie
wieszczem,wieszcz
malutkim,malutki
takim,taki
razie,raz
ma,mieć
tego,to
był,być
wieszczem,wieszcz
wyciąganym,wyciągać
kieszeni,kieszenia
straszną,straszny
Gazetę,gazeta
domyślam,domyślać
okazji,okazja
Odpowiedzi,odpowiedź
było,być
Dowiedział,dowiedzieć
em,być
publiczna,publiczny
wyobraża,wyobrażać
sobie,siebie
publicystykę,publicystyka
kulturalną,kulturalny
powyłamywanymi,powyłamywać
nogami,noga
obejrzało,obejrzeć
widzów,widz
retransmisję,retransmisja
gali,galić
Polsacie,PolSat
godz,godzina
widzów,widz
dane,dana
wprowadzono,wprowadzić
spotkał,spotkać
em,być
będąc,być
programu,program
starego,stary
kumpla,kumpel
jednego,jeden
dziennikarzy,dziennikarz
ówczesnej,ówczesny
Redakcji,redakcja
Programów,program
Wojskowych,wojskowy
był,być
środku,środek
wyjaśniam,wyjaśniać
znaczy,znaczyć
był,być
fajnym,fajny
kolegą,kolega
Zapytał,zapytać
em,być
pewnym,pewien
przekąsem,przekąs
nowi,nowy
szefowie,szef
zrobili,zrobić
miejsca,miejsce
jej,on
prezesem,prezes
jakiegoś,jakiś
generała,generał
zostawili,zostawić
cywila,cywil
odparł,odeprzeć
jesteśmy,być
idiotami,idiota
ście,być
nas,my
ciągu,ciąg
miesiąca,miesiąc
rozstrzelali,rozstrzelać
śmiechem,śmiech
Oni,on
byli,być
idiotami,idiota
czasie,czas
sesji,sesja
zadano,zadać
pytania,pytanie
relacji,relacja
reporterskich,reporterski
sprawiło,sprawić
samo,sam
jedni,jeden
obserwatorzy,obserwator
odebrali,odebrać
inni,inny
manifestację,manifestacja
pogardy,pogarda
Zastanawiano,zastanawiać
wzajemnym,wzajemny
odniesieniem,odnieść
informacji,informacja
komentarzy,komentarz
Redaktorów,redaktor
naczelnych,naczelny
zapytano,zapytać
politykę,polityka
redakcyjną,redakcyjny
jaką,jaki
przyjęli,przyjąć
sprawy,sprawa
krzyża,krzyż
uznali,uznać
tej,ten
sprawie,sprawa
najistotniejsze,istotny
swoich,swój
odbiorców,odbiorca
leżało,leżeć
podstaw,podstawa
takiej,taki
decyzji,decyzja
Zapytano,zapytać
pewne,pewien
wątki,wątek
informacje,informacja
uwypuklili,uwypuklić
inne,inny
uznali,uznać
nieistotne,nieistotny
zdecydowali,zdecydować
ich,on
Starano,starać
posługiwały,posługiwać
tym,ten
przypadku,przypadek
językiem,język
służył,służyć
wyjaśnieniu,wyjaśnieć
sprawy,sprawa
dialogowi,dialog
jakiej,jaki
mierze,miara
pokonywaniu,pokonywać
adwersarzy,adwersarz
wykluczeniu,wykluczyć
dyskursu,dyskurs
przeciwnika,przeciwnik
części,część
wprowadzającej,wprowadzać
Fundacji,fundacja
Nowe,nowy
dokonał,dokonać
prezentacji,prezentacja
wydarzeń,wydarzenie
najważniejszych,ważny
wątków,wątek
sprawy,sprawa
Przedstawił,przedstawić
dokumentujące,dokumentować
publikowane,publikować
relacje,relacja
opinie,opinia
sprawie,sprawa
krzyża,krzyż
Uczestnikami,uczestnik
panelu,panel
dyskusyjnego,dyskusyjny
dotyczącego,dotyczyć
relacji,relacja
reporterskich,reporterski
najgorętszym,gorący
okresie,okres
konfliktu,konflikt
dniach,dzień
sierpnia,sierpień
byli,być
radiowa,Radiowo
internetowego,internetowy
Radia,radio
redaktora,redaktor
naczelnego,naczelny
Przekroju,przekrój
wprowadzenie,wprowadzić
drugiego,drugi
panelu,panel
dotyczącego,dotyczyć
polityki,polityka
redakcyjnej,redakcyjny
wyemitowano,wyemitować
wypowiedzi,wypowiedź
szefów,szef
znaczących,znaczyć
mediów,media
in,inaczej
redaktorów,redaktor
naczelnych,naczelny
Gazety,gazeta
Wyborczej,wyborczy
Rzeczpospolitej,Rzeczpospolita
tej,ten
części,część
sesji,sesja
wzięli,wziąć
redaktora,redaktor
naczelnego,naczelny
Polsatu,PolSat
naczelnego,naczelny
naczelnego,naczelny
Gazety,gazeta
Polskiej,polski
działu,dział
opinii,opinia
Gościa,gość
Niedzielnego,niedzielny
Uniwersytetu,uniwersytet
Kazimierza,Kazimierz
Wielkiego,wielki
Bydgoszczy,Bydgoszcz
in,inaczej
książki,książka
polszczyzny,polszczyzna
politycznej,polityczny
roku,rok
dokonał,dokonać
analizy,analiza
języka,język
stosowanego,stosować
debacie,debata
publicznej,publiczny
sporze,spór
Krakowskim,krakowski
Przedmieściu,przedmieście
rzeczy,rzecz
samej,sam
disneyowska,disneyowski
prozy,proza
Milne'a,Milne
poraża,porażać
intelektualną,intelektualny
płycizną,płycizna
Samo,sam
sobie,siebie
jest,być
niebezpieczne,niebezpieczny
Mozarta,Mozart
lepiej,dobrze
gorzej,źle
Niebezpieczne,niebezpieczny
staje,stawać
taka,taki
staje,stawać
jedyną,jedyny
dostępną,dostępny
latach,rok
pojawi,pojawić
scenie,scena
lukrowanym,lukrować
disneyowskim,disneyowski
musicalu,musical
Najtańsze,tani
bilety,bilet
kosztują,kosztować
złotych,złoty
Odbędą,odbyć
Będzie,być
wielkie,wielki
finansowe,finansowy
marketingowe,marketingowy
jest,być
wielkie,wielki
wydarzenia,wydarzenie
mając,maić
nakładając,nakładać
niezależną,niezależny
Tym,ten
razem,raz
może,móc
Disneya,Disney
wielbiciele,wielbiciel
teatru,teatr
zorganizowali,zorganizować
inicjatywę,inicjatywa
która,który
zamierza,zamierzać
praktyki,praktyka
koncernu,koncern
ulicznych,uliczny
manifestacji,manifestacja
piętnowanie,piętnować
cenzury,cenzura
twórczej,twórczy
mediach,media
prawną,prawny
wzywający,wzywać
naprawy,naprawa
systemu,system
praw,prawo
autorskich,autorski
biorą,brać
in,inaczej
Helsińska,helsiński
Praw,prawo
Człowieka,człowiek
obronie,obrona
Puchatka,Puchatek
wytoczono,wytoczyć
działa,działać
likwidacji,likwidacja
Urzędu,urząd
Kontroli,kontrola
Publikacji,publikacja
Widowisk,widowisko
roku,rok
Polsce,Polska
dochodzi,dochodzić
ograniczania,ograniczać
swobód,swoboda
obywatelskich,obywatelski
zakresie,zakres
wolności,wolność
wyrażania,wyrażać
poglądów,pogląd
twórczości,twórczość
artystycznej,artystyczny
Zmieniła,zmienić
oficjalnej,oficjalny
cenzury,cenzura
prewencyjnej,prewencyjny
zajęła,zająć
nieoficjalna,nieoficjalny
represyjna,represyjny
posługująca,posługiwać
naciskiem,nacisk
ekonomicznym,ekonomiczny
prawnym,prawny
administracyjnym,administracyjny
tłumienia,tłumić
zatrzymywania,zatrzymywać
eliminowania,eliminować
tych,ten
dzieł,dzieło
sztuki,sztuka
wypowiedzi,wypowiedź
które,który
są,być
zgodne,zgodny
ideologią,ideologia
polityczną,polityczny
normami,norma
obyczajowymi,obyczajowy
doktrynami,doktryna
religijnymi,religijny
polityką,polityka
korporacyjną,korporacyjny
piszą,pisać
twórcy,twórca
Indeksu,indeks
pochodzi,pochodzić
numeru,numer
artykułu,artykuł
polskiej,polski
Konstytucji,konstytucja
Każdemu,każdy
zapewnia,zapewniać
twórczości,twórczość
artystycznej,artystyczny
badań,badanie
naukowych,naukowy
ogłaszania,ogłaszać
ich,on
wyników,wynik
nauczania,nauczanie
korzystania,korzystać
dóbr,dobra
kultury,kultura
nasze,nasz
obywatelskie,obywatelski
korzystania,korzystać
dóbr,dobra
kultury,kultura
jest,być
prawem,prawo
człowieka,człowiek
zapisanym,zapisać
Powszechnej,powszechny
Deklaracji,deklaracja
ma,mieć
swobodnego,swobodny
uczestniczenia,uczestniczyć
życiu,życie
kulturalnym,kulturalny
swojej,swój
społeczności,społeczność
korzystania,korzystać
ze,z
zdobyczy,zdobycz
kultury,kultura
uczestniczenia,uczestniczyć
postępie,postęp
nauki,nauka
korzystania,korzystać
jej,on
dobrodziejstw,dobrodziejstwo
prawnicy,prawnik
Aleksandry,Aleksandra
Iwanowskiej,Iwanowska
posiadającej,posiadać
prawa,prawo
poezji,poezja
księdza,ksiądz
Twardowskiego,Twardowski
powiadomili,powiadomić
zakazie,zakaz
śpiewania,śpiewać
wierszy,wiersz
wywołała,wywołać
ostrą,ostry
reakcję,reakcja
Arcybiskupa,arcybiskup
Życińskiego,Życiński
przyjaciela,przyjaciel
poety,poeta
swoim,swój
czasie,czas
odmówił,odmówić
przyjęcia,przyjąć
roli,Rola
wykonawcy,wykonawca
jego,on
testamentu,testament
ma,mieć
prawa,prawo
poezji,poezja
ks,ksiądz
Twardowskiego,Twardowski
pieniędzy,pieniądz
wykonywanie,wykonywać
jego,on
utworów,utwór
jest,być
niemoralne,niemoralny
ubliża,ubliżać
jego,on
pamięci,pamięć
powiedział,powiedzieć
zawłaszczenia,zawłaszczyć
poezji,poezja
ks,ksiądz
Jana,Jan
jest,być
przedsięwzięciem,przedsięwzięcie
nieetycznym,nieetyczny
Zdaniem,zdanie
Życińskiego,Życiński
niekomercyjne,niekomercyjny
wykorzystanie,wykorzystać
utworów,utwór
poety,poeta
powinno,powinien
bezpłatne,bezpłatny
Słuszna,słuszny
dotyczy,dotyczyć
poezji,poezja
Twardowskiego,Twardowski
podpisał,podpisać
zdaniem,zdanie
ogóle,ogół
zawłaszczanie,zawłaszczać
dóbr,dobra
kultury,kultura
jest,być
nieetyczne,nieetyczny
zechciał,zechcieć
inicjatywę,inicjatywa
wpisania,wpisać
Kubusia,Kubuś
Puchatka,Puchatek
listę,lista
światowego,światowy
dziedzictwa,dziedzictwo
kultury,kultura
mogę,móc
linka,linek
tej,ten
inicjatywy,inicjatywa
proszę,prosić
podesłanie,podesłać
zna,znać
go,on
pazernością,pazerność
koncernów,koncern
wiem,wiedzieć
Podstawową,podstawowy
zasadą,zasada
prawa,prawo
autorskiego,autorski
jest,być
wykorzystanie,wykorzystać
dzieła,dzieło
przysługujący,przysługiwać
aktualnym,aktualny
posiadaczom,posiadacz
praw,prawo
dopuszcza,dopuszczać
wyjątki,wyjątek
tego,ten
monopolu,monopol
Ich,on
jest,być
najwyraźniej,wyraźnie
tego,ten
monopolu,monopol
jest,być
działa,działać
kultury,kultura
rozszerzenie,rozszerzyć
zakresu,zakres
wyjątków,wyjątek
niekomercyjne,niekomercyjny
jest,być
bezpłatne,bezpłatny
wymaga,wymagać
zgody,zgoda
posiadaczy,posiadacz
było,być
skutecznym,skuteczny
narzędziem,narzędzie
obrony,obrona
kultury,kultura
próbami,próba
cenzury,cenzura
może,móc
dalej,daleko
słuszna,słuszny
jest,być
monopolu,monopol
taka,taki
Twórcy,twórca
Indeksu,indeks
piszą,pisać
Polskie,polski
teatry,teatr
powinny,powinien
to,ten
korzystania,korzystać
licencji,licencja
wystawianie,wystawiać
utworów,utwór
Milne'a,Milne
przyjętych,przyjąć
zasadach,zasada
Wielka,wielki
powinna,powinien
obecna,obecny
scenach,scena
Leży,leżeć
interesie,interes
artystów,artysta
publiczności,publiczność
komercyjne,komercyjny
było,być
płatne,płatny
chodzi,chodzić
uniknięcie,uniknąć
teatry,teatr
opłat,opłata
jest,być
Najciekawsza,ciekawy
jest,być
pewnego,pewien
modelu,model
edukacji,edukacja
nią,on
stoi,stać
Dotychczasowa,dotychczasowy
zamkniętą,zamknąć
pracownię,pracownia
komputerową,komputerowy
otwiera,otwierać
lekcje,lekcja
informatyki,informatyka
uczniowie,uczeń
szybciej,szybko
skuteczniej,skutecznie
uczą,uczyć
obsługi,obsługa
komputera,komputer
domu,dom
odcina,odcinać
nauczycieli,nauczyciel
możliwości,możliwość
wykorzystania,wykorzystać
zaawansowanych,zaawansować
narzędzi,narzędzie
nauczaniu,nauczać
ich,on
przedmiotów,przedmiot
uczniów,uczeń
dobrodziejstw,dobrodziejstwo
profesjonalnej,profesjonalny
edukacji,edukacja
medialnej,medialny
medialna,medialny
wyszukiwania,wyszukiwać
krytycznego,krytyczny
twórczego,twórczy
wykorzystywania,wykorzystywać
informacji,informacja
czasach,czas
społeczeństwa,społeczeństwo
informacyjnego,informacyjny
starą,stary
industrialną,industrialny
metodą,metoda
obsługi,obsługa
konkretnego,konkretny
urządzenia,urządzenie
programu,program
wyszkoleni,wyszkolić
uczniowie,uczeń
będą,być
mieli,mieć
szans,szansa
globalnym,globalny
rynku,rynek
pracy,praca
Musimy,musieć
rozwiązywania,rozwiązywać
problemów,problem
takie,taki
miękkie,miękki
umiejętności,umiejętność
są,być
kluczowe,kluczowy
zmieniającym,zmieniać
świecie,Świat
zakłada,zakładać
jedną,jeden
zmianę,zmiana
modelu,model
edukacji,edukacja
bardziej,bardzo
otwartą,otwarty
opartą,oprzeć
współtworzenie,współtworzyć
współpracę,współpraca
pamięciowe,pamięciowy
zadanego,zadany
materiału,materiał
sukcesem,sukces
edukacyjne,edukacyjny
laptopy,laptop
wystarczy,wystarczyć
kontenerów,kontener
samych,sam
maszyn,maszyna
je,on
szkół,szkoła
Potrzebne,potrzebny
są,być
kluczowe,kluczowy
elementy,element
nowe,nowy
umiejętności,umiejętność
nauczycieli,nauczyciel
darmowe,darmowy
ogólnodostępne,ogólnodostępny
treści,treść
edukacyjne,edukacyjny
podręczniki,podręcznik
zbiory,zbiór
zadań,zadanie
pomoce,pomoc
formie,forma
cyfrowej,cyfrowy
pełnią,pełnia
praw,prawo
ich,on
twórczego,twórczy
wykorzystania,wykorzystać
rozwijania,rozwijać
te,ten
elementy,element
wzięte,wziąć
pozwolą,pozwolić
stworzenie,stworzyć
ekosystemu,ekosystem
otwartej,otwarty
edukacji,edukacja
opartej,oprzeć
cyfrowe,cyfrowy
technologie,technologia
modelu,model
otwartej,otwarty
edukacji,edukacja
skali,skala
globalnej,globalny
wydaje,wydawać
trwały,trwać
będzie,być
stanie,stan
resztą,reszta
świata,świat
będzie,być
szybkie,szybki
starzenie,starzeć
naszego,nasz
systemu,system
edukacyjnego,edukacyjny
Komentatorzy,komentator
obserwujący,obserwować
polskie,polski
uważają,uważać
jest,być
ono,on
wtórne,wtórny
oparte,oprzeć
kopiowaniu,kopiować
istniejących,istnieć
serwisów,serwis
amerykańskich,amerykański
nowością,nowość
może,móc
ślepą,ślepy
uliczkę,uliczka
świecie,Świat
donosi,donosić
nowym,nowy
serwisie,serwis
da,dać
czym,co
jest,być
największym,duży
skrócie,skrót
rodzaju,rodzaj
krzyżówki,krzyżówka
sieci,sieć
społecznej,społeczny
serwisu,serwis
zakładkami,zakładka
czytnika,czytnik
Zaciekawiony,zaciekawić
zajrzał,zajrzeć
em,być
stronę,strona
Budują,budować
swoją,swój
dziel,dzielić
informacjami,informacja
Kondensuj,kondensować
rozpraszaj,rozpraszać
swoje,swój
treści,treść
Pozwól,pozwolić
twoja,twój
społeczna,społeczny
filtrowała,filtrować
ciebie,ty
zasoby,zasób
mówiąc,mówić
wiem,wiedzieć
miał,mieć
ogólniejszy,ogólny
dotyczy,dotyczyć
kultury,kultura
cyfrowej,cyfrowy
Wydaje,wydawać
czasie,czas
kolejnego,kolejny
boomu,boom
internetowego,internetowy
jednym,jeden
czynników,czynnik
napędzających,napędzać
jej,on
jest,być
szalona,szalony
tworzenia,tworzyć
najdziwniejszych,dziwny
serwisów,serwis
przeżyli,przeżyć
śmy,być
jedną,jeden
pierwszego,pierwszy
bąbla,bąbel
mówiło,mówić
angażowaniu,angażować
użytkownika,użytkownik
ma,mieć
inteligencję,inteligencja
kolektywną,kolektywny
tworzy,tworzyć
nam,my
kolejne,kolejny
bardziej,bardzo
dziwaczne,dziwaczny
piaskownice,piaskownica
zabawy,zabawa
Mam,mieć
nadzieję,Nadzieja
nadejdzie,nadejść
upraszczania,upraszczać
sieciowej,sieciowy
infrastruktury,infrastruktura
kultury,kultura
Mam,mieć
kandydata,kandydat
startu,start
Johna,John
marginesie,margines
działu,dział
wpływem,wpływ
przypadku,przypadek
wszystkie,wszystek
te,ten
inne,inny
nazywały,nazywać
nazywają,nazywać
była,być
zajęta,zajęty
otrzymał,otrzymać
nazwy,nazwa
działających,działać
pośpiechu,pośpiech
twórców,twórca
nazwie,nazwa
są,być
domenę,domena
wcześniej,wczesno
zajął,zająć
gruncie,grunt
rzeczy,rzecz
przedstawia,przedstawiać
pewna,pewien
medialnej,medialny
diety,dieta
treści,treść
tworzone,tworzyć
ludzi,człowiek
obdarzonych,obdarzyć
talentem,talent
umiejętnościami,umiejętność
kreatywnością,kreatywność
Najwyższa,wysoki
tego,ten
rodzaju,rodzaj
diety,dieta
wskazówki,wskazówka
przepisy,przepis
